,author,time,message
0,Facilitator,2021-08-03 09:08:48," My name is  and I’m going to be facilitating the discussion today in a moment, we will be hearing from my colleagues who will lead us through a presentation explaining the background and details of this project, but I will just run through a little bit of housekeeping up top to begin with, it would be really helpful for us if everybody could please make sure that the name being displayed on the zoom is accurate to them, so you can do that by hovering over the panel video that shows your screen and when you do that, you will see in the top right corner little blue box, with three dots pops up if you click on that you will then have the option at the bottom of the pop up menu to select rename and then you can type in your name and ideally any organization that you're representing that will just be really useful for us to just contextualize who we're speaking to, especially if nobody's showing videos and things it just makes things a bit more personable for us, so if you hover over your video select the three dots in the top right you'll get renamed as an option."
1,Facilitator,2021-08-03 09:09:56," So, this workshop is coming into parts of a research project and the purpose of today is to record the views for you as participants."
2,Facilitator,2021-08-03 09:10:04," Those who signed up via Eventbrite will have received a sheet information and details of what you're consenting to by participating so to reiterate anyone is free to exit this workshop at any time, the workshop is being recorded for internal use only and all data will be anonymised it may be used as part of the process outputs but it's going to go through an anonymisation process, so you don't need to worry about sharing any details that are going to be shared with the wider public so by remaining in the workshop, from this point you are agreeing to these terms, so if anyone can't consent these terms of being recorded, then it would be best to exit now."
3,Facilitator,2021-08-03 09:10:39," With that being said, I’ll just outline some technical details, we would like to give everyone a chance to be heard so to make that possible within the limitations of zoom we would invite you to please use the chat which is accessible via the icon bar at the bottom of your screen and the speech bubble icon So if you scroll to the bottom of your screen.  You will see a speech bubble icon underneath and you click that it will pop open the chat. If you are on an iPad or tablets or another device, you may need to go to the top of your screen. Where you will then see a similar set of icons and again if you click the three dots, then you will see a drop-down menu, with the option to select.  So, on desktops the bottom of your screen there's the chat icon on other devices, you may need to go to the top of your screen and click the three dots to access the chat."
4,Facilitator,2021-08-03 09:11:36," If you do need to put anything into the chat you also have the option of private messaging me or other participants in the group, if you choose to private message someone directly, I will only be visible to me or the person receiving the message so you're welcome to use that at any time, if you want to point anything out to me you're welcome to do that."
5,Facilitator,2021-08-03 09:11:55," But throughout the workshop if you can use the chat and just use it to answer any responses, you might have as we go through that would be really helpful."
6,Facilitator,2021-08-03 09:12:10," If you have any questions or remarks during the initial presentation, please leave those in the chat and I will address them when we get to the end of the presentation and if anyone experiences any technical difficulties doing this. We will have the opportunity to just hear from you speaking afterwards, so please don't worry if for any reason you can't find the chat or isn't working for you, we will make sure that we come to you."
7,Facilitator,2021-08-03 09:12:30," So, with that being said, there's just a very small…So if you feel the need for any clarification during the presentation, or if you have any questions or comments leave them in the chat or we will come to you afterwards."
8,Facilitator,2021-08-03 09:12:48," And this workshop is following on from one earlier in the year in March, attended by general aviation users to understand the broad range of feedback and concerns from those with an interest in how air space is managed so that session was very productive and if you'd like to read a summary of outcomes, you can download a PDF from the websites that corresponds to this project so I’m now going to drop that into the chat so you can see how the chat works."
9,Facilitator,2021-08-03 09:13:17," I have just posted the link in the chat there should be a little notification that pops up if you click on that you'll see the chat and I have just entered a link where you can go to the project outputs page. Once you're on that page if you scroll right to the bottom, to the grey bar at the bottom there's a link saying click here and that contains a summary of the outcomes of the previous project is not essential download if you want to be kept up to date with the project so far that's all summer is that very succinct fashion by my colleagues here today."
10,Facilitator,2021-08-03 09:13:47," So, this workshop is taking more of a targeted approach by inviting the input of those in the drone industry sector specifically."
11,Facilitator,2021-08-03 09:13:59," So, we may have the opportunity to go into a bit more detail during the session, in any case, we welcome any comments from your experience, whether they be more technical or subjective."
12,Facilitator,2021-08-03 09:14:07," So, without further ado, I’ll pass you over to my colleagues who will enter into the presentation so over to you, Prof. Tom Cherrett."
13,Prof. Tom Cherrett,2021-08-03 09:14:17," And thank you very much  and good morning everyone thank you again, very much for joining us for this workshop today looking at how we potentially better manage drones in shared air space with other users."
14,Prof. Tom Cherrett,2021-08-03 09:14:26," So, I’m, just advance the slide here a moment, yes, so my name is  I’m the director of the transportation research group at the University of Southampton."
15,Prof. Tom Cherrett,2021-08-03 09:14:39," And so I’m working with , and others, on two projects related to this, so you'll all be aware of the increasing debate around drones being used in various commercial settings with lots of claims about potential to bring about speedier and more sustainable logistics, but it was a key question here is how really do we best manage them in shared air space and particularly how if we have you know, a mass introduction of them on a large scale."
16,Prof. Tom Cherrett,2021-08-03 09:15:12, How would they impact on all the other stakeholders who are trying to use that space of particularly general aviation users who we talked to in a in a workshop earlier this year was Facilitator was saying.
17,Prof. Tom Cherrett,2021-08-03 09:15:19," So, we really want your help, today, to try and start unpacking some of these issues and looking at your particular experiences and to think about how we could potentially have an alternative way forward."
18,Prof. Tom Cherrett,2021-08-03 09:15:29," So, in terms of the purpose of the workshop, first of all it's to give you a little bit of background over the next five to 10 minutes on some of the projects we're working on in this particular space, and these are really targeted towards NHS medical logistics, as a first kind of valid case study."
19,Prof. Tom Cherrett,2021-08-03 09:15:45," We want to try and understand your concerns regarding shared air space from your experiences from trying to obviously undertake missions doing various things. And we want to use all that to collectively try and develop new operating procedures that will be acceptable by all users and I think that's the key thing  will come on to you know some of the interesting issues we've had, the temporary danger area, you're virtually putting a brick wall in the sky and, obviously, these things are difficult to put into place and we want to see if there's other ways of doing that and."
20,Prof. Tom Cherrett,2021-08-03 09:16:19," So just to briefly introduce the team behind all this so they've been instrumental today in setting up the workshop, but also a lot of the background research."
21,Prof. Tom Cherrett,2021-08-03 09:16:28, Professor Janet Dickinson is based in the Faculty of management at Bournemouth university she's a lot of experience in public engagement in relation to new transport systems.  And it's looking particularly as part of the E-Drone project in relation to you know the public's perception of drones and how we win people over to this type of thing.
22,Prof. Tom Cherrett,2021-08-03 09:16:48," Dr Nicolay Jelev is an aircraft designer he's part of the University of Southampton un-crewed aerial systems team. He's got a PhD in aircraft design optimization, but he heads up the ultra large fixed wing drone team for Windracers, which we'll talk a little bit more about that in a moment.  He's also got many hours of flying experience as a glider pilot.  Aliaksei Pilko is one of our PhD researchers in autonomous airspace simulation and he's really looking at kind of ground risk and air risk modelling you know how do we, how do we go about planning sensible routes for drones, particularly in over different types of terrains is also president of the university gliding club."
23,Prof. Tom Cherrett,2021-08-03 09:17:36," We also have a Mr German Moreno, who is a an aircraft systems engineer, and he acts as the regulatory lead for the un-crewed aerial systems team at the University, so he has vast experience in developing drone safety cases with the CAA dealing with temporary danger areas etc so there's a lot of experience in this area."
24,Prof. Tom Cherrett,2021-08-03 09:17:57," And finally, last but not least, Dr Matt Grote who has an engineering doctorate in transportation in the environment so doing a lot of work in relation to the environmental impacts of transport systems, and he was also a commercial airline pilot for over 15 years so that kind of just introduces the team."
25,Prof. Tom Cherrett,2021-08-03 09:18:15," Is a bit about background on yourself so we've had over 60 I think 69 people registered for the event, so you can just see here 40% being commercial drone operators."
26,Prof. Tom Cherrett,2021-08-03 09:18:25," we've got drone service providers as well, a group of people there who are into obviously the academic side in terms of research and development related to drones."
27,Prof. Tom Cherrett,2021-08-03 09:18:34," But also, representative some various regulatory bodies government obviously etc so there's a good spread of of people in the in the workshop today."
28,Prof. Tom Cherrett,2021-08-03 09:18:44," Just some brief background on the projects behind this research so first of all, we have E-Drone, which is funded by the engineering and physical sciences Research Council started in January this year, and goes through to the end of 2023 and involves University of Southampton, Bournemouth University, University College London and Leeds."
29,Prof. Tom Cherrett,2021-08-03 09:19:05," and its really focusing on how we best integrate drones into mixed fleet logistics systems, you know we think about who will be operating drones in the future it'll be you know the DHL or UPS of this world.  But under what circumstances should they be used? You know they're not going to take over from vans they're going to be used in certain situations but optimizing them in relation to the ground transportation systems that they have to link with is very important."
30,Prof. Tom Cherrett,2021-08-03 09:19:29," So, understanding the energy and cost implications of that is a key element that we're working on, but also the public perception side of using drones."
31,Prof. Tom Cherrett,2021-08-03 09:19:39," For a more practical application side, the Future Transport Zone project is a large piece of work, funded by the Department of Transport which started in April of this year, it goes to June 2024 and the drones project part of that is looking at setting up a an air traffic management system, a  UTM for managing drones across a certain region developing drone corridors, but particularly looking at you know sort of the other angles, about the safe transport of goods, particularly medical products in relation to drone transportation."
32,Prof. Tom Cherrett,2021-08-03 09:20:08," And the human factors elements of controlling drones in mixed airspace so both of these projects, though, have the NHS at their core in terms of case studies and that's the kind of thing will be focusing on."
33,Prof. Tom Cherrett,2021-08-03 09:20:18," So I’m just going to say a few is just about the potential for drones to aid NHS logistics, which is the kind of area been working on, and I know, several people in the workshop today have also been doing case studies in this domain.  You will be aware of the work that Zipline have done moving blood around but we've been looking at pathology patient diagnostics is one key areas, so at the moment there are 10 van rounds that service, the just 70 surgeries in the Southampton area lot of background simulation work and using the business as usual data we reckon that could come down to maybe five vans and three drones so you know drones are not going to take over from vans but they could have quite a benefit targeting some of the more remote areas as you've seen this of animation here going down to parts of the New Forest."
34,Prof. Tom Cherrett,2021-08-03 09:21:03," The interesting thing is that on these milk rounds, the vans…the pathology unit at Southampton general hospital doesn't actually receive any samples until after midday.   And we know that targeting certain amount surgeries potentially via drone could vastly speed up the supply of samples and aid the human resource allocation of people in the path labs so that's some of the interesting issues that are you know prevalent there but it's a range of drones for different purposes from trunkings from hub to hub as we have with the Ultra Windracers drone there in the top left."
35,Prof. Tom Cherrett,2021-08-03 09:21:39," To the more point to point VTOL vertical take-off and landing drones obviously SkyPorts have done some excellent work in the Highlands of Scotland, demonstrating this."
36,Prof. Tom Cherrett,2021-08-03 09:21:49, SkyLift also looking at this type of very many other joint providers so there's a different range of drones that will be needed to provide these types of services.
37,Prof. Tom Cherrett,2021-08-03 09:21:58, In terms of areas of the NHS which might be suitable for this while patient diagnostics is an obvious one.
38,Prof. Tom Cherrett,2021-08-03 09:22:08," When you think of you know how many of us on this call, have given a blood sample say in the last few weeks, but there were kind of 56 recognized type of sample 80% of those fall into the categories of blood, urine or stools, but they have to be analysed you know within the day they're collected, they are small light, they are generally carried in ambient temperatures they don't have to be chilled.  And they come under UN 3373 classification, so you know, there is some definite interest here and relevance for drone transportation to move these for more remote areas."
39,Prof. Tom Cherrett,2021-08-03 09:22:42," Another interesting area is potentially blood transportation, but these loads tend to be a lot larger and heavier so on the left hand side of the screen here, you can see photographs of the typical Versapack that's used by the blood transfusion service when they're full and they have to be chilled obviously, they weigh 13 kilograms so it's not light.
…is just moving these around, but a lot of them have moved unaccompanied that you can see the middle photograph is when we took of a taxi driver just moving them off the Isle of Wight ferry coming over from the mainland, to the Isle of Wight."
40,Prof. Tom Cherrett,2021-08-03 09:23:13," And that's what's in them, so that the kind of small little blood bags there, and so, in terms of emergency blood movements there's definitely some scope for drones to contribute in this area, but I think the one of the most interesting ones really is chemotherapy treatment so cytotoxic meds."
41,Prof. Tom Cherrett,2021-08-03 09:23:26," And so, these medicines are often bespoke made for the patient, they are very short shelf life, some of these medicines have to be administered for the patient within four hours have been manufactured."
42,Prof. Tom Cherrett,2021-08-03 09:23:35," And they have to be chilled, obviously, and you know that they are quite delicate in nature, in terms of vibration as well, but because there's high value and they have to be administered quickly it's a classic commodity that will be appropriate for transportation and in the case of the Isle of Wight some Mary's hospital last it's aseptic medicine unit last year, so there's been a rationalization, a lot of their…most their product is manufactured on the mainland and it has to be driven across so there are obvious cases where the movement of this by drone would be would be more perfect, but again, a lot of these classified as dangerous goods so there's interesting issues here."
43,Prof. Tom Cherrett,2021-08-03 09:24:12," So, we have first-hand experience of trying to manage a drone in shared air space with the Covid air bridge project back in May of last year."
44,Prof. Tom Cherrett,2021-08-03 09:24:21," So we set up a link for the NHS to us if it was really necessary between Lee on Solent and Binstead on the Isle of Wight so and again Prof. Jim Scanlan will come on to this in more detail, but the real you know nitty gritty of tactical a busy airfield communicating with air traffic control, having to have a drone and holding patterns to allow for other aircraft to land and setting up the permissions for beyond visual line of sight flying so all of this was a very steep learning curve and into what you needed to do and really you know the setting up the permissions for this also was part of the background for trying to look at you on alternative ways of doing this."
45,Prof. Tom Cherrett,2021-08-03 09:24:56," movie this will play for you, but this just shows one of Ultra’s first flights, going from Lee on Solent across to Binstead on the Isle of Wight."
46,Prof. Tom Cherrett,2021-08-03 09:25:03," So, Ultra is essentially obviously it's a fixed wing twin engine drone."
47,Prof. Tom Cherrett,2021-08-03 09:25:11," Essentially, designed for carrying a payload of about 100 kilograms 100 kilometres so it's a classic kind of trunking aircraft design just to go backwards and forwards."
48,Prof. Tom Cherrett,2021-08-03 09:25:15," and think of it really as a kind of you know, in estate car boot size, if you want to get some idea of scale."
49,Prof. Tom Cherrett,2021-08-03 09:25:25," And so, you know we really appreciate you some of the difficulties of flying this in earnest and Prof. Jim Scanlan will come on to this in a moment, but."
50,Prof. Tom Cherrett,2021-08-03 09:25:31," Here we are an approach to Binstead, which is quite a tight access point but it showed that the services can most definitely work, but we learned an awful lot about you know the realities of trying to operate these systems in shared air space and hence the kind of need for the for the workshop today so I’m going to hand over to  now who will introduce himself.  I just described, you know some of the realities that we faced it, you know the taking these flights  over to you."
