,author,time,message
0,Facilitator,2021-03-26 09:00:40," Welcome everybody. We are just waiting for some remaining people to join the call as we near nine o'clock. So, we're going to leave a couple of minutes now just to allow any last people to come through and then we'll be making a start within two or three minutes.  

Thank you so much for being here with us. And we will have a proper introduction in just a moment.  And to be clear, this is the workshop on un-crewed aerial vehicles in shared airspace, you are in the right place. Weâ€™ll be making a start up in just a couple of minutes.  We've still got some people arriving, so we'll just allow them to come through and then we'll make a start.

And just a note to everybody, I am using the control to mute all participants just to make sure that we don't simultaneously hear about 60 people who've tapping away at the same time.  If at any point you want to contribute, you will need to unmute yourself, which should be available via the microphone icon, which is on the left most side of the icon bar.  Depending on what device we're using, the icon bar will either be visible at the bottom of your screen or you may need to hover the mouse near the top and find a selection of icons.  If you're on a mobile device or if you're using the browser version of Zoom, then you may need to select the three dots icon, which will show a cascade of different icons with more controls but I will reiterate these as we go through. So, there's no need to worry.

We're almost 60 participants now. We still have a few people coming through.  So we will make a start in just a moment. 

Great. OK, so we are at 60 participants, I've just look for a thumbs up from my team.  If we're good to go ahead are we happy? Great OK

So welcome, everybody. And first off, a big thank you for attending today. We really appreciate you finding the time to be with us, especially since I'm sure that we've all had enough of Zoom calls by now.  We will try and make this as straightforward as possible and save you any technical frustrations.

My name is Facilitator and I'm going to be your facilitator for today. In a moment,
we're going to be hearing from my colleagues who will lead us through a presentation explaining the background and details of this project.  Allow me to just go through some quick housekeeping first, however.  So, this workshop is coming as part of a research project.  And the purpose of today is to record the views of you as participants.  Those who signed up via Eventbrite will have received a sheet of information that details what you're consenting to by participating.  So, to reiterate, anyone is free to exit this workshop at any time.  We understand that you also may have other commitments. So, if you need to head off for any reason, please feel free to do so.  The workshop is being recorded for internal use only and all data will be anonymised and may be used as part of the project's outputs.  So, by remaining in the workshop from this point on, you are agreeing to these terms.  So if anyone can't consent to these terms, it would be best to exit now.

With that being said, I would just outline some technical details.  We would like to give everybody the chance to be heard.  So, to make that possible within the limitations of Zoom would invite you to please make use of the chat as we go through.  So, the chat is accessible via an icon at the bottom of your screen, or as I mentioned beforehand if you're using the Web version of Zoom or from a mobile device, you will need to look for your icon bar.  And there will either be an icon with a speech bubble labelled â€˜chatâ€™, or you may need to select a three-dot icon and then you will see an icon with a speech bubble labelled â€˜chatâ€™.  If you click on that, a chat bar will open and you'll be able to type responses in there.  That will be visible to the group.  You also have the option of private messaging, in which case your submissions will only be visible to myself or whoever you select.  There is an option, a little blue bar that has a list of names inside it.  I'm down as .  If you select me, you can send me a message.  And then I will see your message. But it will not be visible to the rest of the group.  So as we go through today, if you have comments or questions that you'd like us to return to after the presentation, please do so by leaving a message in the chats and using that chat icon, which is a speech bubble labelled chat.

So, in a moment, we're going to go into the initial presentation. This will last for about 20 minutes. If you have questions as we go through, if there are any points that you think need to be clarified, please say so in the chat and then I will return to these afterwards and ensure that everybody's points are covered.

If you have any difficulties doing this, if for any reason the chat isn't working for you, then we will have the opportunity for you to simply speak up afterwards.  All that you need to do in that case is to unmute yourself by clicking the mute icon on the left side of your icon bar and then we will be able to hear you.  It would help if you make use of the reactions which are again accessible via the icon bar with a smiley face icon. There should be an option to raise hand, or you can select one of the other pictures of hands that will just help me to see that you have a point.  But again, if this sounds like too many icons to keep track of that's fine. You can just speak up and I will make sure that we cover your point.

So please, just to go over that once again. If you feel the need for any clarification while the presentation is going forwards or if you have any questions you would like us to  return to please leave comments and the chats or you can speak up afterwards we will make sure we come to you. So, without further ado, I will hand over to my colleagues who will introduce themselves and we will have the opportunity to listen to the presentation and receive some more information about the overall project. So I will mute myself now and."
1,TC,2021-03-26 09:06:50,"  Thanks very much, . Good morning, everyone. Janet, if you just share the slide, that would be great. Just get the slides up in front of us.

Good morning, everyone, and thank you very much, Facilitator, for the background information there, it's great to have you with us today and welcome to this Recreational Airspace Users online workshop, which is all about how we can go about managing drones in shared airspace."
0,Microlight pilot 6,2021-03-26 09:07:00,Will the slides be shared
2,TC,2021-03-26 09:07:21,"Next slide, please. 

So, my name is Tom Cherrett. I'm the head of the Transportation Research Group at the University of Southampton. And it's a pleasure to welcome you all to this event today. 

So you will all be aware of the increasing debate around drones being used in various commercial settings with lots of claims about their potential to bring about speedier and more sustainable logistics. But the key issue is how would we best manage those in shared space, air space amongst everything else that's going on?  And also, would their mass introduction potentially, 
how would that impact on the many general aviation users such as yourselves going forward and in what particular way?  So, we really want you to try and help us to start unpack some of these issues and hence this this initial workshop today to start looking at some of these things.  

So in terms of that kind of purpose, what we'd like to do is to give you some brief background information about the way medical logistics are starting to look at drones as potential additions to logistics fleets to assist in moving product around.  We've been doing all the work and background with the NHS and looking at their interest in this.  And I'll give you a few slides on that shortly.  We want to engage to understand your concerns and issues, you know, immediate reactions to some of this. How are you finding it? What are some of the issues that you foresee coming up? And we want to go forward to kind of work with you, just yourselves to develop more, you know, collective operating procedures that are more widely acceptable to all.

Jim will talk more about temporary danger areas and the difficulties with those. So, we want to basically start getting your input into this and what we need to do more widely.  So, I will basically introduce a little bit about the background to these projects that are funding this research and just give a little introduction to the way the NHS is seeing drones being used in medical logistics.

My colleague, Professor Jim Scanlan, will introduce himself in a moment and he will focus much more on airspace and operational risk.  And we'll be giving some experiences from our work that we did last year as part of the Covid 19 trial, flying the ultra-drone to the Isle of Wight and looking at some of these implications of operating drones in shared airspace and a new idea that we're putting forward called Class Lima, which Jim will introduce."
1,R and D 3,2021-03-26 09:08:00,Ooo yes please. I would like to share them with my PDRA at the University of Edinburgh who is working on the UKRI TAS Governance node.
2,Facilitator,2021-03-26 09:09:00,"Yes, slides will be shared after the workshop"
3,TC,2021-03-26 09:09:46,"Next slide, please. Just to introduce you to the team of researchers who are working on this work.  We have Professor Janet Dickinson, who is based in the faculty of management at Bournemouth University.  She has a lot of experience in public engagements in relation to new transport systems.  And we'll be looking at that specifically and how the public think about and accept the concept of drones being used on a more wider scale.

Dr Nic Jelev is an aircraft designer and he's part of the University of Southampton's un-crewed aerial systems team. He has a PhD in aircraft design optimisation and he's head and heads up our ultra-fixed wing, a drone development the Windracers. And that platform is currently going to be flown to the Isles of Scilly in a week's time.  He also has many hours of flying experience working, being a glider pilot himself.

Aliaksei Pilko is a PhD researcher in autonomous airspace simulation and he's particularly looking at ground risk modelling as part of drone routing.  Really interesting concept of, you know what? What is it safe to fly over, what particular times of day, etc.  He is also president of the Southampton University Gliding Club and has many hours of gliding experience.

Mr German Moreno is an un-crewed aircraft systems engineer and he acts as the regulatory lead for the, um, crude aerial systems team at university.  He has a lot of experience in developing drone safety cases and liaising with the CAA and has a former military background in terms of piloting aircraft.

And finally, my colleague, Dr Matt Grote, who works with me in the transportation research group University of Southampton, has a background in carbon modelling looking at transport systems from that perspective. 
But more importantly, and relevant to this was a commercial aviation pilot for 15 years.  So has a lot of first-hand experience of some of these issues.

Next slide, please.

In terms of yourselves, we have a fantastic attendance today. It's great to see such interest in this area.  So we've got over 30 GA pilots and four glider pilots, microlight pilots, a whole variety of people from different regulators and other networks, et cetera.  And you can see a good mixture of people there that we'd all need to engage more proactively going forward in some of these issues.  So it's great to have so many of you on board with us today."
4,TC,2021-03-26 09:12:19,"Next slide, please.

Just a little bit of background on the projects that are behind the funding to this said the first one is called E-Drone, and that is funded by the Engineering and Physical Sciences Research Council.  It started in January and goes through to the end of 2023, involves the University of Southampton, 
Bournemouth University, University College London and the University of Leeds.

And it's really about looking into how drones will be become part of mixed fleet operations. You know, how will some of the large logistics companies actually utilise these? What will be the costs of using them in different circumstances? And to what extent will they be able to bring more wider benefits in certain circumstances?  And, you know, how will we get the public on board in the wider acceptance of systems like this going forward?

The Future Transport Zone Project is from the Department of Transport. 
That's a much larger piece of work. It's 29 million pounds in total value and covers elements of mobility as a service under theme one and freight's topics under theme two one of the freight topics is to do with drones.  And we'll look to develop a traffic management system for managing drones in the Solent region and it's specifically geared to doing test cases with the NHS in terms of medical logistics between the hospitals in the region.  That's our kind of goal with that. But there's many more wider issues it is looking at in terms of dangerous goods legislation for carriage by un-crewed aerial vehicles and the human factors, elements of how we integrate drones into existing traffic control systems themselves."
5,TC,2021-03-26 09:13:54,"Next slide, please.

So there's a little animation here which will hopefully play, but we've done a lot of work with the NHS looking at the potential implications of introducing drones. This little animation on the right hand side is playing a little bit slowly. But there are at the moment twelve vans that do pathology collections, patient diagnostic collections from the 70 surgeries in the Southampton area.  And that's a dedicated service that they're moving. They're serving each surgery twice a day, five days a week.  And we've been working with the NHS to look at how some of the remote surgeries, 
particularly the new forest, might be better served by un-crewed aerial vehicles.

And it's quite interesting in terms of some of the simulations to see how integrating some of these platforms are particularly going over to things like the Isle of Wight could save considerable mileage in terms of CO2 implications, but also very importantly in the current types of operation.  A lot of the pathology labs don't receive samples till after midday because they're all in vans being transferred around. And obviously that implicates has implications for their human resource planning.  So, we know that using UAVs to move very light loads of samples, 40 in each batch, basically could be moved to the hospital much quicker and faster in the morning.  So, there's a lot of interest in the way this might work. But I think more widely we see different types of drone for trunking movements and going between distribution points.  As you can see, the ultra-drone in the top photograph there, and then more point-to-point work going from helipad to helipad with vertical take-off and landing pieces of equipment.  So what areas of the NHS might be most appropriate for the integration of drones?"
6,TC,2021-03-26 09:15:30,"Next slide please Janet

So patient diagnostics is one area that the NHS is very interested in.  So typically, a, you will have all on this call, will have had a blood sample or something taken probably over the last three to four months, some points. And, you know, the vast majority of samples that are taken are in the areas of blood, urine or stool samples. But there are over 56 different types of sample routinely taken and they are moved around and the UN 3373 dangerous goods legislation in the containers that you can see at the bottom there.

But as I was saying, this is largely van based. And, you know, there are issues in terms of the temporal provision of services.  So how can we get things moved quickly from more remote places?  And that will obviously impact on the quality of patient care."
